Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
1037876,-2.09781258917043e-05,-7.64508712351423e-06,-8.09775859565239e-06,8.98047711832931e-06,2.10913427408704e-06,4.70083935826855e-06,6.23616190471567e-06,-8.00349530144892e-06,3.06560870915354e-06,-2.8885111632942e-06,-3.58068653422343e-06,-5.01999233167781e-07,-2.86023349737675e-06
1039246,4.8482658528823e-05,-3.55617451747427e-06,-1.63390121574549e-05,3.38655405284231e-06,-9.33751463599664e-07,-8.6574408436927e-06,4.5421884207281e-06,-7.76321687171104e-06,-9.69713180168376e-06,-5.74390561734404e-06,-2.80052564673155e-06,3.65957613337933e-06,-3.70248731768502e-06
1041552,-2.48385911348895e-05,1.02137432422162e-05,3.8504067499616e-06,-1.03478775839187e-05,-3.38701978822563e-05,-1.89776878554305e-06,-8.28955243538463e-06,-1.25082126437936e-05,1.09156646545463e-05,-7.06549259586948e-06,9.84384139235881e-06,2.36589976583074e-06,-8.14829215101671e-06
1044889,1.17567304982777e-05,2.66169229438448e-06,1.01442180660446e-06,-1.34263862003509e-05,1.53303808561856e-07,5.48357346525489e-06,5.93678919213439e-06,3.00813383157477e-06,-5.27291775703727e-06,-1.28132734310555e-06,-1.25696849902208e-06,-8.12303683453905e-06,-5.35371387257677e-06
1046052,5.56582183334446e-06,4.85808325552017e-06,1.28854133720915e-06,6.00870071085124e-06,-5.15317638613218e-06,3.21530505309496e-06,6.45035206011916e-06,-3.64725033595495e-06,-3.4557634364538e-06,-3.03217607692672e-06,-6.41564739907281e-06,-2.22074882649709e-06,-1.90959345124745e-06
1046897,8.14605355254209e-06,7.39481968407023e-07,-6.18159600620131e-06,-6.07204473510916e-06,-2.34265760516914e-06,1.45204178310992e-05,3.62480145933785e-06,-3.86802821843616e-06,1.16292360957181e-05,-3.63083414706435e-06,8.97721992613318e-07,-4.63635392882126e-08,-4.06800799601701e-06
1051967,-2.42964885515132e-05,1.21928053166892e-05,-1.59545514179804e-06,1.48939773145875e-05,5.22112586371154e-06,1.86172513129171e-06,2.90664404904879e-06,-1.02895146936445e-05,1.27247769570899e-05,-7.15640001151356e-06,8.63020524328518e-07,-1.13267735298254e-06,7.38680066642106e-06
1052430,-5.25254876144873e-06,6.44034940148399e-06,1.07639610747341e-05,2.42126224700378e-06,-1.75291849869729e-05,-3.25578315808642e-06,-6.29069550019695e-06,4.69930686719054e-06,2.91346871395341e-06,6.15112402264466e-06,6.5125799008711e-06,-3.26122978955006e-07,2.38722200566813e-06
1053499,-3.19614689221919e-05,2.62741092119083e-06,-6.5000601080796e-06,-1.03316079710298e-05,9.30401697337787e-06,1.01085663362956e-05,6.15371352020883e-06,-3.22641866950017e-06,1.179989300936e-05,-8.20788454600356e-07,1.17976518144264e-05,-8.66877907077166e-07,-6.75811842573888e-06
1053524,4.89446139947919e-05,-2.32691710641848e-06,8.15173990917276e-06,-1.27364462517691e-05,-3.0791413321345e-06,-1.70568381290719e-06,2.07553678372788e-06,-3.35310843501971e-07,-1.00286042875039e-05,2.64392598282903e-06,9.56608196131275e-07,-4.83269492615227e-06,-2.30363037963477e-07
1053960,1.08681282623477e-05,-1.76661877677645e-05,1.32975130449469e-05,-7.46774008339158e-06,-5.42820838382956e-06,1.0027535367396e-06,-5.63189494162582e-06,3.91492854552287e-06,-1.8144543660486e-06,-1.40337807412238e-06,-8.77419105729361e-08,-5.26379096758808e-06,-8.6506599801618e-06
1056414,1.64646321745472e-05,1.91043920254082e-05,1.47592268613423e-05,-5.17033322063272e-06,-1.13452128945886e-05,3.11132712175947e-06,-3.80730394204693e-06,-6.23348090293358e-06,-2.64244944044266e-06,8.96601293591896e-06,-2.19590264386273e-07,-3.02681424974087e-06,1.16066119107624e-07
1058415,-2.23012018748545e-05,-1.02451178712272e-05,6.74029836787493e-06,8.06962169301347e-07,-2.03603732307255e-05,2.68460482129246e-06,-1.80534107778834e-07,4.06546729239325e-06,9.93042892505879e-06,-6.25764656861274e-07,-9.14661371439837e-07,-5.01854016936436e-06,5.71340839020243e-06
1062054,2.6714730403281e-05,-2.08577257073204e-06,3.80796398024818e-06,4.90176117172849e-06,-1.01858444793208e-05,-4.63832266710628e-07,-8.38477766952331e-06,-9.28247547103883e-06,-1.87937926581036e-06,1.9270127824717e-06,-1.74262596365121e-06,-9.66860239793474e-06,2.24927156183254e-06
1067963,-5.01776447256581e-05,-1.75220230071822e-05,-6.66390163099345e-06,1.32932702855094e-05,2.67679776334691e-05,1.06680440916755e-05,7.53342664726502e-06,-3.26476585100684e-06,2.67433032173407e-06,-3.62435097909384e-06,1.3226227376995e-05,-4.72116835418496e-06,1.56035405097901e-05
