reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.25421,0.2535,0.29333,0.28848,0.25131,0.2553,0.24605,0.226,0.23492,0.20091,0.20468,0.20257,0.17154,0.37365,0.37164,0.35031,0.32366,0.3155,0.30435,0.30101,0.27685,0.26428,0.25653,0.24067,0.23979,0.2128
0.16611,0.19132,0.24332,0.23771,0.22808,0.23392,0.21652,0.17714,0.2067,0.19539,0.20685,0.18002,0.16559,0.36314,0.35439,0.33697,0.32506,0.29757,0.29529,0.2928,0.28788,0.27304,0.2454,0.23355,0.22716,0.21682
0.24514,0.29495,0.25443,0.23263,0.24858,0.21577,0.22256,0.22585,0.19676,0.20278,0.20243,0.16886,0.17821,0.39157,0.33645,0.32139,0.31038,0.30119,0.29125,0.27983,0.26892,0.25505,0.2533,0.2324,0.21941,0.20721
0.35819,0.35198,0.3318,0.31558,0.30555,0.29712,0.28357,0.27749,0.26752,0.25455,0.24131,0.23221,0.22526,0.35819,0.35198,0.3318,0.31558,0.30555,0.29712,0.28357,0.27749,0.26752,0.25455,0.24131,0.23221,0.22526
0.23322,0.27988,0.29473,0.28226,0.25541,0.238,0.21962,0.21156,0.21473,0.22949,0.18898,0.19019,0.17224,0.37537,0.36351,0.33718,0.32997,0.31441,0.30489,0.2901,0.27328,0.26255,0.24602,0.23822,0.2262,0.20835
0.2951,0.3259,0.29083,0.31898,0.27922,0.30694,0.27918,0.26747,0.27808,0.26617,0.25687,0.22726,0.23065,0.3697,0.35541,0.33116,0.31399,0.30848,0.28977,0.28366,0.27308,0.25952,0.25285,0.23754,0.23282,0.20519
0.1593,0.23604,0.23258,0.21637,0.21656,0.18397,0.18756,0.19537,0.21172,0.19696,0.178,0.1617,0.1514,0.38091,0.35267,0.3389,0.33103,0.30754,0.29241,0.2815,0.27147,0.25865,0.25351,0.24354,0.23645,0.21625
0.36617,0.29619,0.31198,0.31191,0.26687,0.30538,0.28452,0.27014,0.2582,0.26571,0.27188,0.25691,0.23032,0.38687,0.35956,0.32968,0.32368,0.30268,0.29642,0.29238,0.2721,0.2695,0.26249,0.25227,0.22649,0.20954
0.25761,0.25329,0.26972,0.27667,0.24995,0.236,0.23534,0.24364,0.22366,0.21851,0.21118,0.18063,0.18186,0.37663,0.35039,0.33803,0.32488,0.29977,0.29894,0.29453,0.28317,0.27234,0.25962,0.24743,0.21806,0.21325
0.33476,0.30886,0.33969,0.30484,0.32011,0.28106,0.27237,0.25284,0.25535,0.24883,0.25756,0.22781,0.22063,0.36253,0.3575,0.34419,0.33411,0.32012,0.30014,0.28581,0.27223,0.26736,0.25802,0.24992,0.23427,0.22857
